index,method,url,protocol,userAgent,pragma,cacheControl,accept,acceptEncoding,acceptCharset,acceptLanguage,host,connection,contentLength,contentType,cookie,payload,label
0,GET,http://localhost:8080/tienda1/publico/anadir.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=B92A8B48B9008CD29F622A994E0F650D,id=2,anom
0,GET,http://localhost:8080/tienda1/publico/anadir.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=B92A8B48B9008CD29F622A994E0F650D,nombre=Jam%F3n+Ib%E9rico,anom
0,GET,http://localhost:8080/tienda1/publico/anadir.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=B92A8B48B9008CD29F622A994E0F650D,precio=85,anom
0,GET,http://localhost:8080/tienda1/publico/anadir.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=B92A8B48B9008CD29F622A994E0F650D,cantidad=%27%3B+DROP+TABLE+usuarios%3B+SELECT+*+FROM+datos+WHERE+nombre+LIKE+%27%25,anom
0,GET,http://localhost:8080/tienda1/publico/anadir.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=B92A8B48B9008CD29F622A994E0F650D,B1=A%F1adir+al+carrito,anom
1,GET,http://localhost:8080/tienda1/publico/anadir.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=F563B5262843F12ECAE41815ABDEEA54,id=2%2F,anom
1,GET,http://localhost:8080/tienda1/publico/anadir.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=F563B5262843F12ECAE41815ABDEEA54,nombre=Jam%F3n+Ib%E9rico,anom
1,GET,http://localhost:8080/tienda1/publico/anadir.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=F563B5262843F12ECAE41815ABDEEA54,precio=85,anom
529,GET,http://localhost:8080/tienda1/publico/pagar.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=CDBF433C6E30342C7A7851FC3237906A,B1=Confirmar%2F,anom
530,GET,http://localhost:8080/tienda1/publico/pagar.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5,application/exe","x-gzip, x-deflate, gzip, deflate, exec","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,keep-alive,null,null,JSESSIONID=B06465F1A29AD74C02D5FB355D09D52F,modo=insertar,anom
